Nome_Estabelecimento,Place_ID_Estabelecimento,Endereço_Estabelecimento,Residência Parceira,Categoria,Busca_Tipo,Busca_Keyword,Latitude_Estabelecimento,Longitude_Estabelecimento,Tipos_API
POLO MACKENZIE JOÃO PESSOA,ChIJj29-Q-_drAcRjuThmwQR14w,"R. Geraldo Costa, 382 - Manaíra, João Pessoa",Manaíra Palace Residence,Educação,university,universidade,-7.109563,-34.828924,"['university', 'point_of_interest', 'establishment']"
Sn - Gran - João Pessoa - Pb,ChIJxQRp6A3drAcRC4opBJXqQuo,"Av. Guarabira - Manaíra, João Pessoa",Manaíra Palace Residence,Educação,university,universidade,-7.1037988,-34.8326636,"['university', 'point_of_interest', 'establishment']"
Supermercado Manaíra,ChIJNVkmBz3drAcRvcpa8ubdoGg,"Av. João Câncio da Silva, 493 - Manaíra, João Pessoa",Manaíra Palace Residence,Comércio,supermarket,supermercado,-7.109793199999999,-34.83214830000001,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Rede Menor Preço,ChIJr9OdzbrdrAcRsSII2hISLgE,"R. Geraldo Costa, 312 - Manaíra, João Pessoa",Manaíra Palace Residence,Comércio,supermarket,supermercado,-7.110936000000001,-34.8306434,"['supermarket', 'grocery_or_supermarket', 'liquor_store', 'store', 'point_of_interest', 'food', 'establishment']"
BeMais Ruy Carneiro,ChIJ_6d1lDndrAcR3vAU-csFgLk,"Av. Sen. Ruy Carneiro, 320 - Manaíra, João Pessoa",Manaíra Palace Residence,Comércio,supermarket,supermercado,-7.111078,-34.8273146,"['supermarket', 'grocery_or_supermarket', 'liquor_store', 'store', 'point_of_interest', 'food', 'establishment']"
Minibox Tambaú,ChIJW-xyMyLdrAcRdyon5AOSBsE,"Merc. Público de Tambaú - Av. Sen. Ruy Carneiro, Box 13 - Tambaú, João Pessoa",Manaíra Palace Residence,Comércio,supermarket,supermercado,-7.110611899999999,-34.8247943,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Empório das Carnes,ChIJnSA-iuHdrAcRU6yns2D8zjk,"R. Dr. João Franca, 562 - Manaíra, João Pessoa",Manaíra Palace Residence,Comércio,supermarket,supermercado,-7.1092298,-34.8320201,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Supermercado da Limpeza - Manaira,ChIJgQqY5DzdrAcRx191AirFmvI,"R. Franca Filho, 600 - Manaíra, João Pessoa",Manaíra Palace Residence,Comércio,supermarket,supermercado,-7.1106025,-34.831363,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']"
Academia Korpus Manaíra,ChIJuVgjfBfdrAcRDPZHzph3eV8,"Av. Cajazeiras, 394 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.1050583,-34.8298637,"['gym', 'health', 'point_of_interest', 'establishment']"
Pulse Fit CT,ChIJP2U2syzdrAcRgX_re_qOp1A,"R. Franca Filho, 711 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.1113171,-34.8318101,"['gym', 'health', 'point_of_interest', 'establishment']"
